Serial ready..

Emax on serial3, F550 on serial1, 

time , LAT_1 , LNG_1 , REL_ALT_1 , LAT_3 , LNG_3 , REL_ALT_3 , GND_SPD_3 , HDG_3 , DIST , CRS , CALC_LAT , CALC_LNG , execution time
68331, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, -1.2, 0.0, 180.0, 0.00, 0.00, 0.0000038, 0.0000000, 3192
68878, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, -1.1, 0.0, 180.0, 0.00, 0.00, 0.0000038, 0.0000000, 3188
69497, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, -1.0, 0.0, 180.0, 0.00, 0.00, 0.0000038, 0.0000000, 3316
69980, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, -0.7, 0.0, 180.0, 0.00, 0.00, 0.0000038, 0.0000000, 3196
71076, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, -0.5, 0.0, 180.0, 0.00, 0.00, 0.0000038, 0.0000000, 3188
71617, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, -0.8, 0.0, 180.0, 0.00, 0.00, 0.0000038, 0.0000000, 3188
72156, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, -0.9, 0.0, 180.0, 0.00, 0.00, 0.0000038, 0.0000000, 3188
72719, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, -0.7, 0.0, 180.0, 0.00, 0.00, 0.0000038, 0.0000000, 3188
73261, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, -0.7, 0.0, 180.0, 0.00, 0.00, 0.0000038, 0.0000000, 3192
73816, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, -0.4, 0.0, 180.0, 0.00, 0.00, 0.0000038, 0.0000000, 3188
74355, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, -0.2, 0.0, 180.0, 0.00, 0.00, 0.0000038, 0.0000000, 3188
74925, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, -0.3, 0.0, 180.0, 0.00, 0.00, 0.0000038, 0.0000000, 3188
75461, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, -0.5, 0.0, 180.0, 0.00, 0.00, 0.0000038, 0.0000000, 3188
76002, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, -0.7, 0.0, 180.0, 0.00, 0.00, 0.0000038, 0.0000000, 3196
76556, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, -0.7, 0.0, 180.0, 0.00, 0.00, 0.0000038, 0.0000000, 3188
77118, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, -0.7, 0.0, 180.0, 0.00, 0.00, 0.0000038, 0.0000000, 3192
77677, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, -0.6, 0.0, 180.0, 0.00, 0.00, 0.0000038, 0.0000000, 3192
78218, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, -0.4, 0.0, 180.0, 0.00, 0.00, 0.0000038, 0.0000000, 3188
78777, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, -0.2, 0.0, 180.0, 0.00, 0.00, 0.0000038, 0.0000000, 3192
79335, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, -0.0, 0.0, 180.0, 0.00, 0.00, 0.0000038, 0.0000000, 3188
79877, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.0, 0.0, 180.0, 0.00, 0.00, 0.0000038, 0.0000000, 3188
80435, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, -0.1, 0.0, 180.0, 0.00, 0.00, 0.0000038, 0.0000000, 3192
80975, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.0, 0.0, 180.0, 0.00, 0.00, 0.0000038, 0.0000000, 3188
81518, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.1, 0.0, 180.0, 0.00, 0.00, 0.0000038, 0.0000000, 3304
82076, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.5, 0.0, 180.0, 0.00, 0.00, 0.0000038, 0.0000000, 3188
82617, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.8, 0.0, 180.0, 0.00, 0.00, 0.0000038, 0.0000000, 3196
83176, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.8, 0.0, 180.0, 0.00, 0.00, 0.0000038, 0.0000000, 3196
83761, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.6, 0.0, 180.0, 0.00, 0.00, 0.0000038, 0.0000000, 3192
84303, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.4, 0.0, 180.0, 0.00, 0.00, 0.0000038, 0.0000000, 3196
84841, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.1, 0.0, 180.0, 0.00, 0.00, 0.0000038, 0.0000000, 3192
85390, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.1, 0.0, 181.0, 0.00, 0.00, 0.0000038, 0.0000000, 3184
85941, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.3, 0.0, 181.0, 0.00, 0.00, 0.0000038, 0.0000000, 3184
86478, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.4, 0.0, 181.0, 0.00, 0.00, 0.0000038, 0.0000000, 3184
87017, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.4, 0.0, 181.0, 0.00, 0.00, 0.0000038, 0.0000000, 3184
87575, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.4, 0.0, 181.0, 0.00, 0.00, 0.0000038, 0.0000000, 3184
88118, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.4, 0.0, 181.0, 0.00, 0.00, 0.0000038, 0.0000000, 3184
88655, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.3, 0.0, 181.0, 0.00, 0.00, 0.0000038, 0.0000000, 3184
89197, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.2, 0.0, 181.0, 0.00, 0.00, 0.0000038, 0.0000000, 3184
90277, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.0, 0.0, 181.0, 0.00, 0.00, 0.0000038, 0.0000000, 3184
90817, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.0, 0.0, 181.0, 0.00, 0.00, 0.0000038, 0.0000000, 3184
